product_id,name,category,price,inventory
1,Smart Mat,Home,87.29,297
2,Pro Tent,Beauty,228.29,104
3,Premium Camera,Beauty,326.53,102
4,Compact Blender,Beauty,349.87,169
5,Eco Tent,Toys,243.67,309
6,Eco Camera,Home,119.36,135
7,Pro Drone,Beauty,340.56,44
8,Pro Mat,Electronics,382.07,241
9,Compact Drone,Outdoors,477.22,67
10,Smart Blender,Outdoors,323.92,212
11,Compact Tent,Home,329.25,160
12,Lite Bottle,Outdoors,283.75,240
13,Compact Drone,Fitness,202.88,137
14,Smart Watch,Beauty,148.92,83
15,Pro Blender,Electronics,46.11,22
16,Smart Bottle,Beauty,124.94,386
17,Lite Speaker,Fitness,289.18,16
18,Lite Tent,Toys,374.17,338
19,Eco Tent,Beauty,293.93,283
20,Eco Tent,Fitness,85.44,175
21,Pro Watch,Beauty,63.19,154
22,Pro Blender,Beauty,421.58,306
23,Compact Watch,Toys,295.94,385
24,Smart Blender,Electronics,272.33,109
25,Pro Camera,Home,186.49,153
26,Premium Watch,Toys,82.87,84
27,Compact Drone,Toys,482.89,212
28,Eco Drone,Home,326.16,308
29,Pro Speaker,Fitness,79.01,219
30,Premium Mat,Electronics,22.2,18
